breed_id,pet_id,gender,visit_age_years,visit_age_months,weight_kg,bcs_recorded,bcs_predicted,preventive_care_visit,healthy_pet_diagnosis,average_adult_breed_weight_kg,source_type
11,952168,F,0.298,3.58,16.919,,,Y,Y,35.91,real_public_processed_sample
11,952169,M,0.169,2.03,7.938,Thin,,N,N,35.91,real_public_processed_sample
11,952169,M,0.355,4.26,12.61,,,Y,N,35.91,real_public_processed_sample
11,952170,FS,0.355,4.26,16.964,,,N,N,35.91,real_public_processed_sample
11,952170,FS,0.421,5.05,21.364,,,Y,Y,35.91,real_public_processed_sample
11,952170,FS,0.45,5.4,20.729,,,Y,N,35.91,real_public_processed_sample
11,952170,FS,0.492,5.9,19.913,,,Y,Y,35.91,real_public_processed_sample
11,952170,FS,0.503,6.04,22.997,,,N,N,35.91,real_public_processed_sample
11,952170,FS,0.511,6.13,22.589,,,N,N,35.91,real_public_processed_sample
11,952170,FS,0.659,7.91,25.265,,,N,N,35.91,real_public_processed_sample
11,952170,FS,0.755,9.06,27.125,,,Y,Y,35.91,real_public_processed_sample
11,952170,FS,1.092,13.1,27.17,,,Y,Y,35.91,real_public_processed_sample
11,952170,FS,1.44,17.28,27.034,,,Y,N,35.91,real_public_processed_sample
11,952170,FS,1.623,19.48,25.855,,,N,N,35.91,real_public_processed_sample
11,952170,FS,1.662,19.94,25.628,,,Y,N,35.91,real_public_processed_sample
11,952170,FS,1.788,21.46,26.218,,,N,N,35.91,real_public_processed_sample
11,952170,FS,2.078,24.94,27.125,,,N,Y,35.91,real_public_processed_sample
11,952170,FS,2.319,27.83,28.123,,,N,N,35.91,real_public_processed_sample
11,952170,FS,2.377,28.52,27.442,,,N,N,35.91,real_public_processed_sample
11,952170,FS,2.533,30.4,27.442,,,N,N,35.91,real_public_processed_sample
11,952170,FS,2.764,33.17,27.216,,,N,N,35.91,real_public_processed_sample
11,952170,FS,2.919,35.03,24.948,,,N,N,35.91,real_public_processed_sample
11,952171,M,0.503,6.04,24.177,,,Y,Y,35.91,real_public_processed_sample
11,952171,M,0.561,6.73,26.898,,,Y,N,35.91,real_public_processed_sample
11,952172,M,2.249,26.99,35.244,,Thin,Y,N,35.91,real_public_processed_sample
11,952172,M,2.64,31.68,35.834,,,Y,N,35.91,real_public_processed_sample
11,952173,M,0.117,1.4,3.13,,,Y,N,35.91,real_public_processed_sample
11,952173,M,0.194,2.33,7.484,,,Y,N,35.91,real_public_processed_sample
11,952173,M,0.251,3.01,0.499,,,Y,Y,35.91,real_public_processed_sample
11,952173,M,0.309,3.71,12.066,,,Y,N,35.91,real_public_processed_sample
11,952173,M,0.383,4.6,15.468,,,Y,N,35.91,real_public_processed_sample
11,952173,M,0.615,7.38,25.084,,,Y,Y,35.91,real_public_processed_sample
11,952173,M,0.782,9.38,26.626,,,N,N,35.91,real_public_processed_sample
11,952174,F,0.114,1.37,1.769,,,Y,N,35.91,real_public_processed_sample
11,952174,F,0.172,2.06,3.765,,,Y,N,35.91,real_public_processed_sample
11,952175,M,0.503,6.04,22.68,,,Y,N,35.91,real_public_processed_sample
11,952176,F,0.421,5.05,14.152,,,Y,N,35.91,real_public_processed_sample
11,952176,F,0.431,5.17,14.515,,,Y,N,35.91,real_public_processed_sample
11,952176,F,0.738,8.86,21.772,,,N,N,35.91,real_public_processed_sample
11,952177,M,1.168,14.02,40.823,,,Y,N,35.91,real_public_processed_sample
11,952177,M,1.353,16.24,32.432,,,Y,N,35.91,real_public_processed_sample
11,952177,M,1.664,19.97,32.205,,,Y,Y,35.91,real_public_processed_sample
11,952177,M,2.176,26.11,33.112,,,Y,N,35.91,real_public_processed_sample
11,952178,MN,2.503,30.04,57.606,Heavy,,Y,N,35.91,real_public_processed_sample
11,952179,M,0.262,3.14,9.662,,,Y,Y,35.91,real_public_processed_sample
11,952180,FS,0.733,8.8,17.327,,,N,N,35.91,real_public_processed_sample
11,952180,FS,1.103,13.24,18.597,,,N,N,35.91,real_public_processed_sample
11,952180,FS,1.316,15.79,21.183,,,Y,N,35.91,real_public_processed_sample
11,952180,FS,1.316,15.79,21.682,,,Y,N,35.91,real_public_processed_sample
11,952181,F,0.752,9.02,16.329,,,Y,Y,35.91,real_public_processed_sample
11,952182,M,0.169,2.03,7.575,,,Y,Y,35.91,real_public_processed_sample
11,952182,M,0.264,3.17,13.154,,,Y,Y,35.91,real_public_processed_sample
11,952182,M,0.369,4.43,20.185,,,Y,N,35.91,real_public_processed_sample
11,952183,F,0.336,4.03,15.195,,,Y,Y,35.91,real_public_processed_sample
11,952184,FS,2.002,24.02,25.22,,,N,N,35.91,real_public_processed_sample
11,952184,FS,2.257,27.08,25.31,,,N,N,35.91,real_public_processed_sample
11,952185,M,0.421,5.05,19.051,,,Y,Y,35.91,real_public_processed_sample
11,952186,F,0.123,1.48,3.357,,,Y,N,35.91,real_public_processed_sample
11,952186,F,0.194,2.33,5.806,,,Y,N,35.91,real_public_processed_sample
11,952187,M,0.169,2.03,3.084,,,Y,N,35.91,real_public_processed_sample
11,952187,M,0.216,2.59,4.354,,,Y,Y,35.91,real_public_processed_sample
11,952187,M,0.311,3.73,4.264,,,Y,N,35.91,real_public_processed_sample
11,952187,M,0.445,5.34,15.876,,,N,Y,35.91,real_public_processed_sample
11,952187,M,0.574,6.89,20.502,,,N,N,35.91,real_public_processed_sample
11,952187,M,0.842,10.1,23.496,,,N,N,35.91,real_public_processed_sample
11,952188,M,0.123,1.48,2.268,,,Y,Y,35.91,real_public_processed_sample
11,952189,MN,0.911,10.93,43.091,,,Y,N,35.91,real_public_processed_sample
11,952189,MN,1.043,12.52,40.823,,,N,Y,35.91,real_public_processed_sample
11,952189,MN,1.467,17.6,43.772,,,Y,N,35.91,real_public_processed_sample
11,952189,MN,2.024,24.29,44.452,,,Y,Y,35.91,real_public_processed_sample
11,952190,M,0.253,3.04,17.872,,,Y,N,35.91,real_public_processed_sample
11,952191,FS,0.169,2.03,2.585,,,Y,Y,35.91,real_public_processed_sample
11,952191,FS,0.193,2.32,3.583,,,N,N,35.91,real_public_processed_sample
11,952191,FS,0.207,2.48,4.309,,,Y,Y,35.91,real_public_processed_sample
11,952191,FS,0.283,3.4,7.711,,,Y,Y,35.91,real_public_processed_sample
11,952191,FS,0.361,4.33,7.711,,,Y,Y,35.91,real_public_processed_sample
11,952191,FS,0.434,5.21,14.515,,,N,N,35.91,real_public_processed_sample
11,952192,FS,1.503,18.04,25.855,,,N,N,35.91,real_public_processed_sample
11,952193,M,0.336,4.03,16.964,,,Y,N,35.91,real_public_processed_sample
11,952193,M,0.338,4.06,17.599,,,N,N,35.91,real_public_processed_sample
11,952193,M,0.777,9.32,33.248,,,N,N,35.91,real_public_processed_sample
11,952194,F,0.503,6.04,25.583,,,N,N,35.91,real_public_processed_sample
11,952195,M,0.67,8.04,25.447,,,N,N,35.91,real_public_processed_sample
11,952196,M,0.119,1.43,5.216,,,Y,N,35.91,real_public_processed_sample
11,952197,MN,2.309,27.71,23.678,,Thin,Y,N,35.91,real_public_processed_sample
11,952198,F,0.92,11.04,40.506,,,Y,N,35.91,real_public_processed_sample
11,952199,M,0.287,3.44,16.783,,,Y,Y,35.91,real_public_processed_sample
11,952199,M,0.347,4.16,22.453,,,Y,Y,35.91,real_public_processed_sample
11,952200,F,0.237,2.84,6.804,,,Y,Y,35.91,real_public_processed_sample
11,952200,F,0.371,4.45,17.327,,,Y,N,35.91,real_public_processed_sample
11,952201,M,0.336,4.03,17.282,,,Y,Y,35.91,real_public_processed_sample
11,952201,M,0.336,4.03,17.282,,,Y,Y,35.91,real_public_processed_sample
11,952202,F,1.327,15.92,36.786,,,Y,Y,35.91,real_public_processed_sample
11,952203,M,0.196,2.35,11.385,,,Y,Y,35.91,real_public_processed_sample
11,952203,M,0.254,3.05,16.783,,,Y,Y,35.91,real_public_processed_sample
11,952203,M,0.311,3.73,22.498,,,Y,N,35.91,real_public_processed_sample
11,952203,M,0.369,4.43,27.669,,,Y,N,35.91,real_public_processed_sample
11,952204,M,2.794,33.53,29.03,,,Y,Y,35.91,real_public_processed_sample
11,952205,M,0.503,6.04,29.03,,,Y,Y,35.91,real_public_processed_sample
11,952205,M,0.599,7.19,32.659,,,Y,Y,35.91,real_public_processed_sample
11,952206,M,0.18,2.16,6.759,,,N,N,35.91,real_public_processed_sample
11,952207,MN,2.004,24.05,42.865,,,Y,N,35.91,real_public_processed_sample
11,952207,MN,2.015,24.18,43.726,,,Y,N,35.91,real_public_processed_sample
11,952208,M,0.136,1.63,4.853,,,Y,N,35.91,real_public_processed_sample
11,952208,M,0.138,1.66,4.853,,,N,Y,35.91,real_public_processed_sample
11,952208,M,0.177,2.12,7.711,,,Y,Y,35.91,real_public_processed_sample
11,952208,M,0.234,2.81,13.2,,,Y,Y,35.91,real_public_processed_sample
11,952208,M,0.27,3.24,15.604,,,N,N,35.91,real_public_processed_sample
11,952209,FS,0.336,4.03,14.152,,,Y,N,35.91,real_public_processed_sample
11,952209,FS,0.413,4.96,19.55,,,Y,N,35.91,real_public_processed_sample
11,952209,FS,0.421,5.05,20.185,,,Y,Y,35.91,real_public_processed_sample
11,952209,FS,0.494,5.93,24.403,,,N,N,35.91,real_public_processed_sample
11,952209,FS,0.514,6.17,24.902,,,Y,N,35.91,real_public_processed_sample
11,952209,FS,0.99,11.88,3.447,,,Y,N,35.91,real_public_processed_sample
11,952210,FS,0.174,2.09,5.715,,,Y,Y,35.91,real_public_processed_sample
11,952210,FS,0.212,2.54,8.391,,,Y,Y,35.91,real_public_processed_sample
11,952210,FS,0.262,3.14,11.793,,,Y,Y,35.91,real_public_processed_sample
11,952210,FS,0.281,3.37,12.837,,,Y,Y,35.91,real_public_processed_sample
11,952210,FS,0.335,4.02,16.329,,,N,N,35.91,real_public_processed_sample
11,952210,FS,0.355,4.26,18.597,,,N,N,35.91,real_public_processed_sample
11,952210,FS,0.373,4.48,19.051,,,N,N,35.91,real_public_processed_sample
11,952210,FS,0.404,4.85,21.319,,,N,N,35.91,real_public_processed_sample
11,952210,FS,0.413,4.96,21.772,,,N,Y,35.91,real_public_processed_sample
11,952210,FS,0.443,5.32,23.814,,,N,N,35.91,real_public_processed_sample
11,952210,FS,0.442,5.3,23.814,,,Y,N,35.91,real_public_processed_sample
11,952210,FS,0.48,5.76,24.494,,,N,N,35.91,real_public_processed_sample
11,952211,F,0.279,3.35,3.357,Thin,,Y,N,35.91,real_public_processed_sample
11,952211,F,0.309,3.71,3.765,Thin,,N,N,35.91,real_public_processed_sample
11,952211,F,0.347,4.16,4.491,Thin,,N,N,35.91,real_public_processed_sample
11,952211,F,0.366,4.39,4.899,,,N,N,35.91,real_public_processed_sample
11,952211,F,0.368,4.42,4.717,Thin,,N,N,35.91,real_public_processed_sample
11,952211,F,0.382,4.58,5.08,Thin,,N,N,35.91,real_public_processed_sample
11,952211,F,0.465,5.58,6.169,Thin,,N,N,35.91,real_public_processed_sample
11,952211,F,0.52,6.24,6.577,Thin,,N,N,35.91,real_public_processed_sample
11,952211,F,0.555,6.66,6.124,Thin,,N,N,35.91,real_public_processed_sample
11,952211,F,0.725,8.7,7.348,Thin,,Y,N,35.91,real_public_processed_sample
11,952211,F,0.755,9.06,7.756,Thin,,N,N,35.91,real_public_processed_sample
11,952212,M,1.503,18.04,34.019,,,N,N,35.91,real_public_processed_sample
